Event ID,Station-Unit,Start Date,Cause Code Name,IsRepeat,TimeBetweenFailure
142331,Gallagher Steam-4,10/26/07 13:55,Second superheater B,FALSE,
142627,Marshall Steam-1,11/4/07 12:02,Waterwall (Furnace wall) A,TRUE,1886.833333
142628,Marshall Steam-3,11/2/07 4:56,First superheater B,FALSE,
144726,Marshall Steam-1,11/13/07 23:57,Waterwall (Furnace wall) A,TRUE,227.9166667
144771,Gibson Steam-4,11/1/07 19:59,Waterwall (Furnace wall) A,TRUE,61.08333333
144772,Gibson Steam-4,11/1/07 22:12,Waterwall (Furnace wall) A,TRUE,2.216666667
144774,Gibson Steam-4,11/4/07 16:52,Waterwall (Furnace wall) A,TRUE,66.66666667
144776,Gibson Steam-4,11/4/07 18:53,Waterwall (Furnace wall) A,TRUE,2.016666667
144788,Gibson Steam-5,11/7/07 21:00,First reheater A,TRUE,598.7
144789,Gibson Steam-5,11/7/07 23:39,First reheater A,TRUE,2.65
144790,Gibson Steam-5,11/9/07 22:55,First reheater A,TRUE,47.26666667
144904,Allen Steam-1,11/20/07 12:27,Waterwall (Furnace wall) A,TRUE,14127.65
145019,East Bend Steam-2,11/15/07 9:00,Second superheater B,TRUE,18813.88333
145026,Gallagher Steam-4,11/2/07 23:16,First reheater A,FALSE,
145036,Gallagher Steam-4,11/17/07 11:09,First superheater B,FALSE,
147567,Marshall Steam-1,12/6/07 5:54,Waterwall (Furnace wall) A,TRUE,533.95
147649,Gibson Steam-4,12/9/07 22:24,Platen superheater,FALSE,
147650,Gibson Steam-4,12/9/07 22:47,Platen superheater,TRUE,0.3833333334
147651,Gibson Steam-4,12/12/07 7:38,Platen superheater,TRUE,56.85
147737,Marshall Steam-1,12/19/07 22:13,Waterwall (Furnace wall) A,TRUE,328.3166667
147812,Gibson Steam-2,12/19/07 6:59,First reheater A,FALSE,
147813,Gibson Steam-2,12/19/07 9:04,First reheater A,TRUE,2.083333333
147814,Gibson Steam-2,12/21/07 16:36,First reheater A,TRUE,55.53333333
