,slug,nominal,min_t,max_t,tubes_inspected,bins_collected,critical_tubes,critical_bins
295,20200818-626dec,0.28,0.2414499968290329,0.3490400016307831,16,656,0,0
296,20200813-b44d63,0.105,0.09151999652385712,0.11558999866247177,28,818,0,0
297,20200811-da6161,0.105,0.061069998890161514,0.1042800024151802,28,619,3,6
298,20200701-5c80de,6.096,3.5399999618530273,9.829999923706055,144,4590,29,60
299,20200519-dd7b17,0.24,0.10311999917030334,0.38644999265670776,89,8144,41,298
300,20200519-de5104,0.24,0.1144300028681755,0.27305999398231506,16,2370,16,294
301,20200519-020931,0.24,0.14400999248027802,0.2793433368206024,14,2932,11,61
302,20200519-1cd14c,0.25,9.999999747378752e-06,0.09092000126838684,45,4310,45,4310
303,20200513-93c991,0.22,0.1263200044631958,0.2498600035905838,307,100438,43,124
304,20200512-cc45d6,0.276,0.12196999788284302,0.3160000145435333,291,10256,173,383
305,20200512-d91643,0.35,0.1532900035381317,0.38999998569488525,291,10036,45,221
306,20200423-f5ea06,0.3,0.07999999821186066,0.3596000075340271,148,133420,73,321
307,20200423-3d9cd4,0.3,0.121799997985363,0.39208000898361206,143,5478,4,4
308,20200423-e004e7,0.3,0.16356000304222107,0.3572799861431122,104,3034,2,4
309,20200423-dae971,0.28,0.20183999836444855,0.36500000953674316,235,44004,0,0
310,20200426-d7e60c,0.3,0.29309335350990295,0.34915998578071594,143,2067,0,0
311,20200410-481694,0.22,0.10892000049352646,0.25971999764442444,303,38840,87,452
312,20200323-0c56b4,0.237,0.10302333533763885,0.4267599880695343,463,95750,186,704
313,20200323-4d30bb,0.237,0.1356000006198883,0.27480000257492065,387,18608,8,14
314,20200310-73c53c,0.268,0.13434334099292755,0.3597699999809265,497,110324,376,4325
315,20200310-ded7c1,0.25,0.19611333310604095,0.35019999742507935,184,42724,0,0
316,20200310-4b0c7c,0.24,0.07498999685049057,0.3995000123977661,96,3079,24,57
317,20200309-f4ab1f,0.25,3.407409906387329,5.477255821228027,108,15154,0,0
