Customer.name,Location.name,Location.city,Unit.name,Unit.slug,Component.slug,Inspection.slug,Component.wall_nominal_thickness,Component.wall_warning_thickness,Component.coating_nominal_thickness
Southern Co,Plant Bowen,Cartersville,Unit 1,unit-1-44431e,lower-slopes-fc5fee,20171128-9ee0a5,0.22,0.17,0
Southern Co,Plant Bowen,Cartersville,Unit 1,unit-1-44431e,bullnose-94b9e1,20171130-b77eb6,0.238,0.17,0
Southern Co,Plant Bowen,Cartersville,Unit 4,unit-4-676260,lower-slopes-afd602,20171120-1eb3c7,0.238,0.17,0
First Energy,Harrison Power Station,Haywood,Unit 1,unit-1-7ebc6a,waterwall-754ed3,20171104-39b30c,0.203,0.07,0
Ebensburg Power Company,Ebensburg,Ebensburg,Unit 1,unit-10-5b3dfa,waterwalls-94d724,20171103-e6ba11,0.24,0.165,0
Ebensburg Power Company,Ebensburg,Ebensburg,Unit 1,unit-10-5b3dfa,division-walls-551bb2,20171103-8bf789,0.24,0.168,0
Ebensburg Power Company,Ebensburg,Ebensburg,Unit 1,unit-10-5b3dfa,wingwalls-a5793e,20171103-850446,0.24,0.168,0
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,waterwalls-2ae2c0,20171023-158e37,0.21,0.15,0
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,wingwalls-2bcf71,20171023-77fc27,0.21,0.15,0
Talen Energy,Colstrip,Colstrip,Boiler 1,unit-1-16558c,waterwalls-115d0f,20171018-b24ffd,0.22,0.15,0
CLECO,Brame Energy Center,Lena,Boiler 31,boiler-31-c16302,waterwalls-5e3a6c,20171012-3ee5d7,0.25,0.2,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 2,unit-2-2b2835,waterwalls-08309d,20170928-3f9322,0.25,0.15,0
Great River Energy,Spiritwood,Spiritwood,Boiler 1,boiler-1-ee54d2,waterwalls-32839e,20170914-b05e6e,0.24,0.17,0.015
Great River Energy,Spiritwood,Spiritwood,Boiler 1,boiler-1-ee54d2,division-walls-ae7e67,20170914-f3ed61,0.24,0.17,0.015
Archer Daniels Midland (ADM),Cedar Rapids,Cedar Rapids,Boiler 1,boiler-1-15ba41,waterwalls-a621d1,20170820-59ca5f,0.23,0.17,0.025
Archer Daniels Midland (ADM),Cedar Rapids,Cedar Rapids,Boiler 1,boiler-1-15ba41,wingwalls-494b3f,20170820-db2009,0.23,0.17,0.025
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 1,unit-1-12a6a5,coutant-slopes-33dff6,20170523-1948fb,0.284,0.109,0
Hallador Power Company,Merom Generating Station,Sullivan,Unit 1,unit-1-b4709b,waterwalls-ca4fd0,20170515-14f248,0.35,0.13,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,waterwalls-6eb5a8,20170501-d06a6c,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,superheater-elements-a7998c,20170502-98bade,0.17,0.13,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,unit-3-937755,evaporator-panels-a78ec1,20170502-3233b3,0.3,0.234,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bank-1-2-3f0bc5,20170427-4b31bf,0.195,0.125,0
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,waterwalls-571769,20170427-cc80b8,0.26,0.065,0.075
AES,Warrior Run,Cumberland,Boiler 1,boiler-1-18ec02,evaporator-bank-3-205c2c,20170425-33a954,0.195,0.125,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,waterwalls-6eb75a,20170327-f1495d,0.26,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,superheater-elements-aa1f0e,20170327-53a53b,0.17,0.1485,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,unit-4-5c6ce2,evaporator-panels-0b33af,20170327-c7bcea,0.3,0.234,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 2,unit-2-2b2835,north-coutant-slope-4016ef,20170316-e4aa87,0.25,0.109,0
East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 2,unit-2-2b2835,south-coutant-slope-bd2689,20170317-e033fe,0.25,0.109,0
Vistra Luminant Energy,Sandow,Rockdale,Boiler 5A,boiler-5a-1270d5,waterwalls-e99901,20170311-e152db,0.23,0.17,0.03
"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,boiler-10-7055ca,waterwalls-2ae2c0,20161025-3219a1,0.21,0.15,0
University of North Carolina (UNC),Chapel Hill,Chapel Hill,Boiler 6 - 2016,boiler-6-0f5b4b,waterwalls-c2564d,20160914-808361,0.25,0.15,0
University of North Carolina (UNC),Chapel Hill,Chapel Hill,Boiler 7 - 2016,boiler-7-2016-5a769f,waterwalls-ff4abb,20160414-c08dfd,0.25,,
