Customer.name,Location.name,Location.city,Unit.name,Unit.slug,Component.slug,Inspection.slug,Component.wall_nominal_thickness,Component.wall_warning_thickness,Component.coating_nominal_thickness
Adven oy,Adven - Kauttuan voimalaitos,Ukraine,CFB Boiler,cfb-boiler-c65900,waterwalls-f56116,20210623-e2d6d0,6,3.2,
Sumitomo - Foster Wheeler,SHI FW ENERGIA FAKOP,41-200 Sosnowiec,Demo Panel,demo-panel-e46dac,demo-panel-58b10f,20210621-db3bc1,,4.9,
Tauron,Tauron - Lagisza,BÄ™dzin,6.17 Demo,617-demo-ef0be1,waterwalls-b8ea58,20210618-457955,,,
Tauron,Tauron - Lagisza,BÄ™dzin,6.17 Demo,617-demo-ef0be1,waterwalls-thickness-21fe0d,20210617-716d0e,,5,
APS,APS  - Yucca Power Plant,Yuma,Unit 1,unit-1-59af1a,bullnose-7a0a52,20210606-766262,0.38,0.2,
APS,APS  - Yucca Power Plant,Yuma,Unit 1,unit-1-59af1a,waterwalls-848811,20210604-a17446,0.28,0.2,
Los Angeles Department of Water and Power,LADWP - Scattergood,El Segundo,Unit 2,unit-1-4544f6,waterwalls-a6d5bb,20210601-a6f6ce,0.28,0.2,
Los Angeles Department of Water and Power,LADWP - Scattergood,El Segundo,Unit 2,unit-1-4544f6,division-walls-c0fb47,20210601-c8d70c,0.28,0.2,
American Crystal Sugar,American Crystal Sugar - Drayton Factory,Drayton,Boiler,boiler-81c7b7,upper-portion-bd545a,20210520-5832a0,0.165,0.107,
American Crystal Sugar,American Crystal Sugar - Drayton Factory,Drayton,Boiler,boiler-81c7b7,lower-portion-00dab7,20210520-5862b3,0.165,0.1,
Ebensburg Power Company,Ebensburg,Ebensburg,Unit 1,unit-10-5b3dfa,waterwalls-94d724,20210518-b55430,0.24,0.165,0
Ebensburg Power Company,Ebensburg,Ebensburg,Unit 1,unit-10-5b3dfa,division-walls-551bb2,20210518-0e171e,0.24,0.168,0
Santee Cooper,Winyah,Georgetown,Unit 2 Boiler,unit-2-boiler-0cedf7,waterwalls-9552d4,20210518-585202,0.25,0.2,0
