,Customer.name,Location.name,Location.city,Unit.name,tubes_inspected,bins_collected,critical_tubes,critical_bins,tube_feet_inspected
24,Koch Industries (Corporate),Georgia-Pacific - Gurdon Softwood Plywood Mill,Gurdon,Unit 1,104,2114,104,2109,528.5
25,Great River Energy,Spiritwood,Spiritwood,Econo Top South (120-MW-361),208,4574,207,1948,1143.5
26,"Ingredion, Inc.",Bedford Park,Bedford Park,Boiler 10,4030,381163,741,1858,95290.75
27,Southern Co,Plant Gaston,Wilsonville,Unit 5,1490,326331,442,1785,81582.75
28,AES,Petersburg,Petersburg,Boiler U4,906,201221,393,1639,50305.25
29,Aboitiz,Therma South (TSI),Davao City,Unit 2,752,72061,28,1559,18015.25
30,Southern Co,Plant Wansley,Carrollton,Unit 1,2167,218863,304,1558,54715.75
31,Santee Cooper,Winyah,Georgetown,Unit 1 Boiler,674,66660,111,1492,16665.0
32,Southern Co,Plant Bowen,Cartersville,Unit 4,1610,361812,396,1490,90453.0
33,Adven oy,Adven - Kauttuan voimalaitos,Ukraine,CFB Boiler,174,14404,152,1445,3601.0
34,Southern Co,Plant Bowen,Cartersville,Unit 3,1537,192715,274,1442,48178.75
35,ALCOA,Warrick Power Station,Newburgh,Unit 2 Boiler,791,46129,267,1335,11532.25
36,Duke Energy,Gibson Generating Station,Owensville,Unit 1,794,25817,164,1177,6454.25
37,Southern Co,Plant Barry,Bucks,Unit 5,495,90937,186,1035,22734.25
38,Santee Cooper,Santee Cooper - Cross Generating Station,Pineville,Unit 4,257,25521,184,1026,6380.25
39,APS,Cholla Power Plant,Joseph City,Unit 1 Boiler,151,21904,105,1017,5476.0
40,Iowa State University,Iowa State University,Ames,Boiler 1,60,11180,54,971,2795.0
41,ALCOA,Warrick Power Station,Newburgh,Unit 4 Boiler,374,13963,97,962,3490.75
42,Vistra Luminant Energy,Oak Grove Generating Station,Franklin,Unit 1,1174,42382,319,942,10595.5
43,NRG,Limestone Electric Generating Station,Jewett,Unit 1,1272,168806,248,902,42201.5
44,Southern Co,Plant Wansley,Carrollton,Unit 2,1516,219281,292,838,54820.25
45,Vistra Luminant Energy,Joppa,Joppa,Unit 6,382,97503,53,832,24375.75
46,Covanta,Tulsa,Tulsa,Unit 3,74,2703,37,774,675.75
47,Cardinal,Cardinal Power Plant,"Brilliant, OH",Unit 1,850,114358,194,718,28589.5
48,Great River Energy,Spiritwood,Spiritwood,Boiler 1,1658,113530,124,638,28382.5
49,Purdue University,Wade Utility Plant,West Lafayette,Unit 5,247,39221,175,612,9805.25
50,LG&E,Trimble County,Bedford,Unit 1,582,20292,218,604,5073.0
51,Vistra Luminant Energy,Oak Grove Generating Station,Franklin,Unit 2,1070,44377,231,601,11094.25
52,East Kentucky Power Coop (EKPC),Cooper,Somerset,Unit 1,267,40196,146,589,10049.0
53,Xcel Energy,Xcel - Plant X,Earth,Tube Sample,8,1000,8,532,250.0
54,Southern Co,Plant Yates,Newnan,Unit 7,925,88421,66,510,22105.25
55,AES,Warrior Run,Cumberland,Boiler 1,1610,97514,144,457,24378.5
56,TVA,Cumberland,Cumberland City,Unit 2,303,38840,87,452,9710.0
57,AEP,AEP - Welsh Power Station,Pittsburg,Unit 3,201,37679,59,447,9419.75
58,DTE Energy,DTE - Mt. Poso Cogeneration,Bakersfield,Unit 1,430,36780,132,447,9195.0
59,Vistra Luminant Energy,Joppa,Joppa,Unit 5,387,120534,64,425,30133.5
60,Aboitiz,Therma South (TSI),Davao City,Unit 1,757,65434,78,405,16358.5
61,AES,Harding Street Generating Station,Indianapolis,Unit 7,486,83294,79,377,20823.5
62,Stonghold Digital Mining,Scrubgrass Generating Plant,Kennerdell,Unit 1,74,9162,62,339,2290.5
63,Cardinal,Cardinal Power Plant,"Brilliant, OH",Unit 3,859,117555,113,338,29388.75
64,Vistra Luminant Energy,Joppa,Joppa,Unit 3,538,143999,79,329,35999.75
65,Kentucky Utilities,Ghent Generating Station,Ghent,Unit 2,770,68039,135,317,17009.75
66,AEP,Conesville,Conesville,Unit 4,620,40745,149,311,10186.25
67,AES,Petersburg,Petersburg,Boiler U3,1067,230621,133,306,57655.25
68,Vistra Luminant Energy,Joppa,Joppa,PC Boiler,43,4407,35,281,1101.75
69,AES,Petersburg,Petersburg,Unit 2,275,69008,80,275,17252.0
70,Basin Electric Power Cooperative,Antelope Valley Station,Beulah,Unit 2 - PC Boiler,159,38801,65,273,9700.25
71,AES,Hawaii,Kapolei,Unit B,158,32131,44,261,8032.75
72,Covanta,Tulsa,Tulsa,Unit 2,52,1198,38,238,299.5
73,ALCOA,Warrick Power Station,Newburgh,Unit 3 Boiler,368,21944,69,187,5486.0
74,Dominion,Mt. Storm,Mt. Storm,Unit 1,1854,93324,74,181,23331.0
75,East Kentucky Power Coop (EKPC),Cooper,Somerset,Unit 2,581,58398,41,181,14599.5
76,AEP,AEP - Turk Power Station,Fulton,Boiler,931,37080,53,180,9270.0
77,ALCOA,Warrick Power Station,Newburgh,Unit 1 Boiler,536,25292,48,178,6323.0
78,AES,Petersburg,Petersburg,Boiler U1,180,50447,67,176,12611.75
79,Ravenswood Generating Station,Ravenswood Generating Station,Queens,Unit 10,146,2533,55,165,633.25
80,Stonghold Digital Mining,Scrubgrass Generating Plant,Kennerdell,Unit 2,73,9285,39,147,2321.25
81,AES,Hawaii,Kapolei,Unit A,158,32593,48,139,8148.25
82,Florida Crystals,Okeelanta Biomass Cogeneration,South South Bay,Boiler #1,101,5088,49,124,1272.0
83,First Energy,Bruce Mansfield,Shippingport,Unit 3,109,2855,14,93,713.75
84,American Crystal Sugar,American Crystal Sugar - Drayton Factory,Drayton,Boiler,258,2852,41,88,713.0
85,Dominion,Clover Power Plant,Clover,Unit 1,229,18417,39,78,4604.25
86,East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 4,5551,468554,33,75,117138.5
87,MalarEnergi,MalarEnergi,Vasetras,CFB Boiler,352,14258,27,68,3564.5
88,Southern Co,Greene County Steam Plant,Forkland,Unit 2,167,21562,31,58,5390.5
89,PNM,San Juan Generating,Waterflow,Unit 4 Boiler,96,3079,24,57,769.75
90,Southern Illinois Power Cooperative,SIPC - Marion Power Station,Marion,CFB Boiler,194,45773,31,48,11443.25
91,Sunflower Electric Power Corp,Holcomb Power Plant,Holcomb,Unit 1,182,20857,23,44,5214.25
92,Consolidated Edison Company of New York (Corporate),CONED - 74th Street,New York,Unit 121,462,16074,28,43,4018.5
93,Otter Tail Power Company,Coyote Power Station,Beulah,PC Boiler,651,62335,34,39,15583.75
94,Pacificorp,Wyodak Power Station,Gillette,U1 Boiler,182,32106,18,39,8026.5
95,East Kentucky Power Coop (EKPC),Spurlock,Maysville,Unit 3,4454,383612,26,36,95903.0
96,ALCOA,Warrick Power Station,Newburgh,Unit 4 Division Wall,58,5424,11,36,1356.0
97,APS,APS  - Yucca Power Plant,Yuma,Unit 1,166,12117,29,35,3029.25
